CarID	Direction	Arrival-Time	Cross-Time	Wait-Time 
0	N		20:44:8		20:44:9		1
4	N		20:44:9		20:44:10		1
7	N		20:44:10		20:44:11		1
3	E		20:44:8		20:44:12		4
6	E		20:44:9		20:44:13		4
9	E		20:44:13		20:44:14		1
1	S		20:44:8		20:44:15		7
5	S		20:44:9		20:44:16		7
10	S		20:44:14		20:44:17		3
11	E		20:44:16		20:44:18		2
12	E		20:44:17		20:44:19		2
14	E		20:44:18		20:44:20		2
2	W		20:44:8		20:44:21		13
8	W		20:44:11		20:44:22		11
13	W		20:44:18		20:44:23		5
19	W		20:44:23		20:44:24		1
15	S		20:44:19		20:44:25		6
17	S		20:44:21		20:44:26		5
18	S		20:44:22		20:44:27		5
16	E		20:44:21		20:44:28		7
21	E		20:44:24		20:44:29		5
22	E		20:44:25		20:44:30		5
23	E		20:44:26		20:44:31		5
25	E		20:44:27		20:44:32		5
29	E		20:44:29		20:44:33		4
20	S		20:44:24		20:44:34		10
24	S		20:44:26		20:44:35		9
28	S		20:44:29		20:44:36		7
26	W		20:44:27		20:44:37		10
27	W		20:44:29		20:44:38		9
30	W		20:44:30		20:44:39		9
33	W		20:44:32		20:44:40		8
32	E		20:44:32		20:44:41		9
34	S		20:44:32		20:44:42		10
35	E		20:44:33		20:44:43		10
37	E		20:44:34		20:44:44		10
36	S		20:44:33		20:44:45		12
38	W		20:44:34		20:44:46		12
42	E		20:44:35		20:44:47		12
39	S		20:44:34		20:44:48		14
41	S		20:44:35		20:44:49		14
40	W		20:44:35		20:44:50		15
43	S		20:44:36		20:44:51		15
47	E		20:44:38		20:44:52		14
31	N		20:44:32		20:44:53		21
45	S		20:44:38		20:44:54		16
50	E		20:44:40		20:44:55		15
44	W		20:44:37		20:44:56		19
52	E		20:44:42		20:44:57		15
51	S		20:44:42		20:44:58		16
46	W		20:44:38		20:44:59		21
54	S		20:44:44		20:45:0		16
48	W		20:44:39		20:45:1		22
49	W		20:44:40		20:45:2		22
57	S		20:44:47		20:45:3		16
53	E		20:44:43		20:45:4		21
55	E		20:44:44		20:45:5		21
56	W		20:44:45		20:45:6		21
58	E		20:44:47		20:45:7		20
59	W		20:44:47		20:45:8		21
